# data_set 	 label 	 phase_radius	 phase_conc 	 phase_inner	 phase_outer 	 min_kymo 	 max_kymo	 min_phase 	 max_phase
2019-03-15	0	-0.00010195619091593268	0.08371373677135345	0.03654967046913316	0.4599860515400202	62.5	24.0	-2.6	30.7
2019-03-15	1	-0.00019783240675686593	-0.3977824414904142	-0.19012865558225447	-0.9029882019730247	0.8	-46.5	10.3	66.4
2019-03-20	0	2.223484620659351e-05	-0.4008234970186049	-0.3641671591192625	-0.5582992780247814	0.827	-38.041999999999994	5.789	-41.35
2019-03-25	0	-0.0006508348631118098	0.0428033109361598	-0.28870403340179296	0.04770032860148064	3.175	313.05499999999995	-1.27	60.959999999999994
2019-04-11	0	0.00012270355755294532	-0.10138207324487095	-0.09859617553601682	-0.10762848274628378	1.8519999999999999	53.708000000000006	0.0	64.82
2019-05-10-2-r	0	0.0003467381008786647	-0.08130390092268275	0.04859083342363296	-0.021138924340624404	1.6919999999999997	-43.992	0.282	52.169999999999995
2019-05-10-2-r	1	0.0008432666063476744	0.7462643468239619	1.1991690445611887	0.009333998368809882	-9.87	35.814	-11.844	37.506
2019-05-16-r	0	-0.000521629960049332	1.068780075468071	0.9641952027925271	-1.6564504348309383	-14.663999999999998	-43.992	-12.69	17.484
Mirna	0	0.0003987445480888476	-0.09039681268636168	-0.34036914694817866	-0.3277551076066897	0.6599999999999999	-34.98	0.6599999999999999	-68.97
Mirna	1	-6.925446529481967e-05	-0.07593325329063574	0.15047740711515048	0.20194154090687352	0.6599999999999999	-36.959999999999994	2.3099999999999996	70.61999999999999
Mirna	2	0.0005675143735261141	-0.4033324502945762	-0.5029600238821731	-0.5175185503456164	1.3199999999999998	-42.239999999999995	9.9	79.53
2019-06-20-2-r	0	-0.00011477479202315597	-1.3600594455931423	1.6775565554940586	0.0018650220003767494	-29.558999999999997	21.877	-32.064	-108.55
2019-03-25	0	0.0001458023823797435	0.04126971774071971	-0.2907240951749759	0.045471098178991316	-1.27	61.59499999999999	-1.27	60.959999999999994
2019-06-20-2-r	0	-0.00011186335994855025	1.7670405454121387	1.66739463081421	0.0021251683581410036	-37.074	28.056	-32.064	-108.55
2019-03-29	0	-0.000437215578369172	0.6292226618858676	0.9296308740390455	0.18699262481601875	-1.972	30.565999999999995	-10.846	-61.13199999999999
